minutes,timestamp,gps,gpsCapability,satsTracked
0.0,485950808,3,30,12
0.0,485950808,3,30,12
0.06666666666666667,485950812,3,30,12
0.06666666666666667,485950812,3,30,12
0.06666666666666667,485950812,3,30,12
0.13333333333333333,485950816,3,30,12
0.13333333333333333,485950816,3,30,12
0.21666666666666667,485950821,3,30,12
0.21666666666666667,485950821,3,30,12
0.21666666666666667,485950821,3,30,12
0.21666666666666667,485950821,3,30,12
0.26666666666666666,485950824,3,30,12
0.26666666666666666,485950824,3,30,12
0.35,485950829,3,30,12
0.35,485950829,3,30,12
0.38333333333333336,485950831,3,30,12
0.38333333333333336,485950831,3,30,12
0.38333333333333336,485950831,3,30,12
0.38333333333333336,485950831,3,30,12
0.45,485950835,3,30,12
0.45,485950835,3,30,12
0.5166666666666667,485950839,3,30,13
0.55,485950841,3,30,13
0.55,485950841,3,30,13
0.55,485950841,3,30,13
0.6833333333333333,485950849,3,30,13
0.6833333333333333,485950849,3,30,13
0.6833333333333333,485950849,3,30,13
0.6833333333333333,485950849,3,30,13
0.7666666666666667,485950854,3,30,13
0.7833333333333333,485950855,3,30,13
0.7833333333333333,485950855,3,30,13
0.7833333333333333,485950855,3,30,13
0.7833333333333333,485950855,3,30,13
0.85,485950859,3,30,13
0.85,485950859,3,30,13
0.85,485950859,3,30,13
0.85,485950859,3,30,13
0.9166666666666666,485950863,3,30,13
0.9666666666666667,485950866,3,30,13
0.9666666666666667,485950866,3,30,13
1.0166666666666666,485950869,3,30,13
1.0166666666666666,485950869,3,30,13
1.0166666666666666,485950869,3,30,13
1.1,485950874,3,30,13
1.1,485950874,3,30,13
1.1666666666666667,485950878,3,30,13
1.1666666666666667,485950878,3,30,13
1.2166666666666666,485950881,3,30,13
1.2166666666666666,485950881,3,30,13
1.25,485950883,3,30,13
1.25,485950883,3,30,13
1.3333333333333333,485950888,3,30,13
1.3333333333333333,485950888,3,30,13
1.4,485950892,3,30,13
1.4333333333333333,485950894,3,30,13
1.4333333333333333,485950894,3,30,13
1.4333333333333333,485950894,3,30,13
1.4333333333333333,485950894,3,30,13
1.5,485950898,3,30,13
1.5,485950898,3,30,13
1.5666666666666667,485950902,3,30,13
1.5666666666666667,485950902,3,30,12
1.6,485950904,3,30,13
1.6,485950904,3,30,13
1.6,485950904,3,30,13
1.6,485950904,3,30,13
1.7333333333333334,485950912,3,30,12
1.7333333333333334,485950912,3,30,12
1.8,485950916,3,30,12
1.8,485950916,3,30,12
1.8666666666666667,485950920,3,30,13
1.8666666666666667,485950920,3,30,12
1.8666666666666667,485950920,3,30,13
1.8666666666666667,485950920,3,30,12
1.9333333333333333,485950924,3,30,13
1.9333333333333333,485950924,3,30,13
1.9833333333333334,485950927,3,30,13
1.9833333333333334,485950927,3,30,12
1.9833333333333334,485950927,3,30,13
1.9833333333333334,485950927,3,30,12
2.05,485950931,3,30,13
2.05,485950931,3,30,13
2.1166666666666667,485950935,3,30,12
2.1166666666666667,485950935,3,30,12
2.15,485950937,3,30,12
2.15,485950937,3,30,12
2.216666666666667,485950941,3,30,13
2.216666666666667,485950941,3,30,13
2.2666666666666666,485950944,3,30,13
2.316666666666667,485950947,3,30,13
2.316666666666667,485950947,3,30,13
2.316666666666667,485950947,3,30,13
2.316666666666667,485950947,3,30,13
2.3833333333333333,485950951,3,30,13
2.3833333333333333,485950951,3,30,13
2.3833333333333333,485950951,3,30,13
2.3833333333333333,485950951,3,30,13
2.45,485950955,3,30,13
2.45,485950955,3,30,13
2.4833333333333334,485950957,3,30,13
2.4833333333333334,485950957,3,30,12
2.4833333333333334,485950957,3,30,13
2.4833333333333334,485950957,3,30,12
2.55,485950961,3,30,12
2.55,485950961,3,30,12
2.6166666666666667,485950965,3,30,12
2.65,485950967,3,30,12
2.65,485950967,3,30,12
2.65,485950967,3,30,12
2.8,485950976,3,30,13
2.8,485950976,3,30,12
2.8,485950976,3,30,13
2.8,485950976,3,30,12
2.85,485950979,3,30,13
